
2024/09/24 (21:02:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/24 (22:13:53) | ===> btop++ v.1.4.0
2024/09/24 (22:13:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/01 (19:06:49) | ===> btop++ v.1.4.0
2024/10/01 (19:06:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/02 (03:43:42) | ===> btop++ v.1.4.0
2024/10/02 (03:43:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/02 (18:49:37) | ===> btop++ v.1.4.0
2024/10/02 (18:49:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/03 (02:43:44) | ===> btop++ v.1.4.0
2024/10/03 (02:43:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/03 (04:02:53) | ===> btop++ v.1.4.0
2024/10/03 (04:02:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/04 (03:41:36) | ===> btop++ v.1.4.0
2024/10/04 (03:41:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/04 (23:16:46) | ===> btop++ v.1.4.0
2024/10/04 (23:16:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/07 (05:49:40) | ===> btop++ v.1.4.0
2024/10/07 (05:49:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
